"","crown_age_and_probs"
"crown_age_mean",11.2515829717615
"crown_age_hpd_l",8.8756423161708
"crown_age_hpd_h",13.9498026814309
"Spheniscus_megaramphus",1
"Spheniscus_muizoni",1
"Spheniscus_urbinai",1
"Pygoscelis_grandis",0.98
"Madrynornis_mirandus",0.79
"Marplesornis_novaezealandiae",0.32
"Eretiscus_tonnii",0
"Palaeospheniscus_bergi",0
"Palaeospheniscus_biloculata",0
"Palaeospheniscus_patagonicus",0
